"","date","location","latitude","longitude","start_time","stop_time","num_of_t","transect_length","num_of_quadrats","species_count","species_count_2","species_count_5","simpsons_diversity_index","number_of_tallies_recorded_species_only","total_number_of_tallies","id","num_points","category"
"1",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"acanthophora_spicifera",23,"Red Algae"
"2",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"actinopyga_varians",NA,"Mobile Invertebrates"
"3",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"ahnfeltiopsis_concinna",NA,"Red Algae"
"4",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"ahnfeltiopsis_flabelliformis",NA,"Red Algae"
"5",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"aiptasia_pulchella",NA,"Sessile Invertebrates"
"6",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"akalaphycus_setchelliae",NA,"Red Algae"
"7",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"amansia_glomerata",NA,"Red Algae"
"8",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"amphipod_spp",NA,"Mobile Invertebrates"
"9",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"anthopleura_nigrescens",NA,"Sessile Invertebrates"
"10",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"articulated_corallines",NA,"Red Algae"
"11",2004-02-01,"Kahana Bay",21.559278,-157.871902,00:00:00,01:00:00,6,10,22,11,9,9,0.8369477912,166,550,"asparagopsis_taxiformis",NA,"Red Algae"
